zip,year,month,count
11434,2009,8,3
11238,2009,7,3
10460,2006,3,4
11374,2010,4,1
11212,2009,3,2
11219,2008,3,2
10452,2008,12,11
10028,2010,9,1
11221,2006,8,5
11428,2006,7,1
11238,2006,1,1
10460,2014,11,3
10031,2012,7,7
10032,2012,2,3
11225,2011,8,6
11207,2007,7,6
11205,2008,2,1
11435,2007,1,2
11224,2014,8,1
10029,2015,2,3
11417,2012,9,1
11103,2010,10,2
10469,2011,3,4
11226,2009,8,5
11411,2006,10,3
10462,2012,8,2
10024,2006,9,3
10455,2008,12,2
10470,2008,4,1
11429,2012,5,2
10027,2012,5,2
10468,2012,12,2
10033,2013,7,4
10030,2008,4,5
11218,2011,3,2
11228,2006,4,1
11229,2008,5,1
10033,2008,1,4
11226,2006,2,2
11378,2011,6,1
11435,2010,3,1
10468,2009,4,9
11216,2006,11,7
10456,2008,12,5
10458,2011,2,3
10451,2008,6,4
10036,2009,6,1
11692,2012,7,4
11225,2014,5,5
11216,2014,3,5
11224,2006,12,1
10009,2007,12,1
10009,2013,9,1
11203,2011,9,2
10454,2011,3,2
10467,2006,6,10
10463,2014,7,2
11209,2013,6,1
11237,2011,10,2
11434,2006,2,1
10026,2011,3,2
11211,2012,11,1
11239,2012,2,2
10459,2008,9,6
11221,2014,12,2
10065,2011,3,1
10032,2014,4,6
11377,2013,3,1
11237,2008,7,2
11221,2009,2,6
11101,2013,9,1
11101,2007,12,1
10302,2013,8,1
11237,2013,1,2
11208,2011,6,3
11230,2015,2,2
10453,2009,11,10
11235,2012,8,4
11237,2007,2,4
10014,2014,2,1
10452,2011,4,5
10466,2006,8,3
10452,2010,11,7
11420,2011,8,2
10011,2009,6,1
11385,2009,11,1
10463,2006,9,3
11423,2010,12,2
10002,2007,5,2
10012,2009,3,1
10473,2010,7,1
10471,2011,3,1
11206,2014,10,4
10467,2010,10,6
10128,2011,11,1
11230,2013,11,1
11207,2013,8,6
10458,2007,10,11
10455,2010,11,1
11210,2010,4,3
11210,2011,11,1
10455,2011,4,3
11220,2015,2,1
10013,2014,5,1
11420,2014,5,4
11234,2011,3,1
11215,2008,10,1
10456,2011,4,10
10030,2011,12,2
11370,2012,2,1
10456,2010,11,7
11105,2013,5,1
10033,2007,8,5
10040,2011,7,4
